成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2022,口頭発表,国際,無,"Shogo Nakakita, Masaaki Imaizumi",Benign Overfitting in Overparameterized Time Series Models,Workshop on the Theory of Overparameterized Machine Learning,,2022/04/05,,,,,
2022,口頭発表,国際,無,Benign Overfitting in Conditional Average Treatment Effect Prediction with Linear Regression,"Masahiro Kato, Masaaki Imaizumi",Workshop on the Theory of Overparameterized Machine Learning,,2022/04/05,,,,,
2022,口頭発表,国際,無,On the way to achieve autonomous node communication in the Elixir ecosystem,"Hideki Takase, Shintaro Hosoai, Ryota Kinukawa, Shunsuke Kikuchi",Code BEAM America 2022,,2022/11/03,,,,,
2022,口頭発表,国際,有,Best Arm Identification with a Fixed Budget under a Small Gap,"M. Kato, K.Ariu, M. Imaizumi, M.Uehara, M.Nomura",2023 ASA Annual Meeting,,2023/01/05,,,,,
2023,口頭発表,国際,無,Sup-norm convergence of deep network estimator for nonparametric regression with corrected adversarial training,Masaaki Imazumi,Korian Statistical Society,,2023/05/26,,,,,published
2023,口頭発表,国際,無,On Generalization Bounds for Deep Networks based on Loss Surface Implicit Regularization,Masaaki Imaizumi,Latin American Congress of Probability and Mathematical Statistics,,2023/06/11,,,,,published
2023,口頭発表,国際,無,"DEEP LEARNING: Theory, Algorithms, and Applications 2023",Masaaki Imaizumi,Sup-norm convergence of deepnetwork estimator for nonparametric regression with corrected adversarial training,,2023/06/22,,,,,published
2023,口頭発表,国際,無,Estimation of single index models in moderately high dimension,"Kazuma Sawaya, Yoshimasa Uematsu, Masaaki Imaizumi",Econometric and Statistics,,2023/08/01,,,,,published
2023,口頭発表,国際,有,Synthetic control methods through predictive synthesis,"M. Kato, A. Fukuda, K.Takanashi, K. McAlinn, A.Ohda, M. Imaizumi",Econometrics and Statistics,,2023/08/02,,,,,published
2023,口頭発表,国際,無,An Integrated Distributed Simulation Environment weaving by Hakoniwa and mROS 2,"Hideki Takase, Shintaro Hosoai, Tatsuya Fukuta, Mitsutaka Takada, Shin Kuboaki and Takashi Mori",ROSCon 2023,,2023/10/20,,,,,
2023,口頭発表,国際,有,Non-sparse high-dimensional statistics and its applications,Masaaki Imaizumi,International Symposium onRecent Advances in Theories and Methodologies for Large Complex Data,,2023/12/08,,,,,published
2023,口頭発表,国際,有,High-dimensional Contextual Bandit Problem without Sparsity,"Junpei Komiyama, Masaaki Imaizumi",Neural Information Processing Systems,,2023/12/19,,,,,published
2023,口頭発表,国際,無,Statistical Analysis on Generalization Ability of In-Context Learning,Masaaki Imaizumi,Institute of Statistical Mathematics Asia Pasific Rim Meeting 2024,,2024/01/05,,,,,published
2023,口頭発表,国際,無,Statistical Analysis on Generalization Ability of In-Context Learning,Masaaki Imaizumi,The Mathematics of Data,,2024/01/17,,,,,published
2023,口頭発表,国際,無,Introduction to Theory of Deep Learning,Masaaki Imaizumi,The Machine Learning SummerSchool in Okinawa 2024,,2024/03/05,,,,,published
2023,口頭発表,国際,無,"Zenohex: an eloquent, scalable and fast communication library for Elixir","Shintaro Hosoai, Hideki Takase and Mitsuhiro Osaki",Code BEAM America 2023,,2024/03/07,,,,,
2023,口頭発表,国際,無,"Deep Learning: Theory, Applications, and Implications",Masaaki Imaizumi,"Deep Learning: Theory, Applications, and Implications",,2024/03/19,,,,,published
2023,口頭発表,国際,無,Statistics for Modern Data Science: Statistical Analysis on Overparameterized Models and In-Context Learning,Masaaki Imaizumi,International Conference on Scientific Computing and Machine Learning 2024,,2024/03/21,,,,,published
2023,口頭発表,国際,無,Statistical Analysis on Overparameterized Models and In-Context Learning,Masaaki Imaizumi,Workshop on Functional Inference and Machine Intelligence,,2024/03/27,,,,,published
